key,english,swahili (proposed),your correction,notes
recording_timed_out,"%1$s\n\nAndroid limits background recording to six hours a day, so it stopped there.","%1$s\n\nAndroid huruhusu kurekodi chinichini kwa saa sita kwa siku, kwa hivyo kumesimama hapo.",,technical terms left in English on purpose
recordings_title,Recordings,Rekodi,,
recordings_empty_title,No recordings yet,Bado hakuna rekodi,,
recordings_empty_message,Tap the record button while a station is playing.,Gusa kitufe cha kurekodi wakati kituo kinasikika.,,
recordings_location,Saved in Music/Radio Diaspora,Zimehifadhiwa katika Music/Radio Diaspora,,
recordings_play,Play,Sikiliza,,
recordings_share,Share,Shiriki,,
recordings_delete,Delete,Futa,,
recordings_delete_confirm_title,Delete recording?,Ufute rekodi hii?,,
recordings_delete_confirm_message,%1$s will be removed from this device.,%1$s itaondolewa kwenye kifaa hiki.,,
recordings_deleted,Recording deleted,Rekodi imefutwa,,
recordings_delete_failed,Couldn\'t delete that recording,Imeshindwa kufuta rekodi hiyo,,
recordings_no_player,No app on this device can play that file,Hakuna programu kwenye kifaa hiki inayoweza kusikiliza faili hiyo,,
recordings_share_via,Share recording,Shiriki rekodi,,
onboarding_previous,Back,Rudi,,
onboarding_next,Next,Endelea,,
onboarding_skip,Skip,Ruka,,
onboarding_finish,Agree &amp; continue,Kubali na uendelee,,
onboarding_title_welcome,Welcome to Radio Diaspora,Karibu Radio Diaspora,,
onboarding_message_welcome,"Live Kenyan radio wherever you are. Dozens of stations, free, and no account to create.","Redio za Kenya moja kwa moja, popote ulipo. Vituo vingi, bila malipo, na huhitaji akaunti.",,legal or first-run copy - wording matters most here
onboarding_title_find,Find your stations,Tafuta vituo vyako,,
onboarding_message_find,"Search by name, and tap the heart on any station to keep it under Favourites for one-tap access.","Tafuta kwa jina, kisha gusa moyo kwenye kituo chochote ili kikae chini ya Vipendwa na ukifikie kwa mguso mmoja.",,legal or first-run copy - wording matters most here
onboarding_title_listen,Listen anywhere,Sikiliza popote,,
onboarding_message_listen,"Playback carries on in the background and from the lock screen, and you can cast any station to a Google Cast speaker or TV on your network.","Usikilizaji unaendelea chinichini na kwenye skrini iliyofungwa, na unaweza kutuma kituo chochote kwenye spika au TV yenye Google Cast kwenye mtandao wako.",,technical terms left in English on purpose; legal or first-run copy - wording matters most here
onboarding_title_record,Record what you hear,Rekodi unachosikia,,
onboarding_message_record,"Tap record while a station is playing. Recordings are saved to Music/Radio Diaspora and open in any music app — as MP3 where the station broadcasts in MP3, with nothing re-encoded.","Gusa kitufe cha kurekodi wakati kituo kinasikika. Rekodi huhifadhiwa katika Music/Radio Diaspora na hufunguka katika programu yoyote ya muziki — kama MP3 pale kituo kinaporusha kwa MP3, bila kubadilisha muundo.",,long; technical terms left in English on purpose; legal or first-run copy - wording matters most here
onboarding_title_agreement,User agreement,Makubaliano ya mtumiaji,,
onboarding_message_agreement,"This app streams content that is publicly available from Kenyan radio broadcasters. We do not host or own that content; all rights belong to the respective owners. Anything you record is for your personal use only. This app is provided for personal, non-commercial use.","Programu hii hurusha maudhui yanayopatikana hadharani kutoka kwa watangazaji wa redio wa Kenya. Hatuhifadhi wala kumiliki maudhui hayo; haki zote ni za wamiliki husika. Chochote unachorekodi ni kwa matumizi yako binafsi pekee. Programu hii ni kwa matumizi binafsi, si ya kibiashara.",,long; legal or first-run copy - wording matters most here
settings_title,Settings,Mipangilio,,
settings_section_appearance,Appearance,Muonekano,,
settings_theme,Theme,Mandhari,,
settings_theme_system,Follow system,Fuata mfumo,,
settings_theme_light,Light,Nuru,,
settings_theme_dark,Dark,Giza,,
settings_section_playback,Playback,Usikilizaji,,
settings_resume_title,Resume last station,Endeleza kituo cha mwisho,,
settings_resume_summary,Start playing the station you last listened to when the app opens,Anza kusikiliza kituo ulichosikiliza mwisho programu inapofunguliwa,,
settings_keep_screen_on_title,Keep the screen on,Weka skrini iwe wazi,,
settings_keep_screen_on_summary,Stop the display sleeping while a station is playing,Zuia skrini kuzima wakati kituo kinasikika,,
settings_section_data,Data,Data,,
settings_wifi_only_title,Wi-Fi only,Wi-Fi pekee,,technical terms left in English on purpose
settings_wifi_only_summary,Refuse to stream or record over mobile data,Usisikilize wala kurekodi kwa data ya simu,,
settings_section_recording,Recording,Kurekodi,,
settings_recording_limit,Maximum length,Urefu wa juu,,
settings_recording_limit_none,No limit (Android stops at 6 hours),Bila kikomo (Android husimamisha baada ya saa 6),,technical terms left in English on purpose
settings_recording_limit_minutes,%1$d minutes,Dakika %1$d,,
settings_recording_format_title,Format,Muundo,,
settings_recording_format_summary,"Recorded exactly as the station broadcasts it — MP3 where offered, otherwise AAC. No re-encoding, so nothing is lost.","Hurekodiwa kama kituo kinavyorusha — MP3 pale inapopatikana, vinginevyo AAC. Hakuna kubadilisha muundo, hivyo hakuna ubora unaopotea.",,technical terms left in English on purpose
settings_section_storage,Storage,Hifadhi,,
settings_clear_cache_title,Clear image cache,Futa akiba ya picha,,
settings_clear_cache_summary,Remove downloaded station logos,Ondoa nembo za vituo zilizopakuliwa,,
settings_cache_cleared,Image cache cleared,Akiba ya picha imefutwa,,
settings_section_about,About,Kuhusu,,
settings_replay_onboarding_title,Show the welcome screens again,Onyesha skrini za karibu tena,,
settings_replay_onboarding_summary,The introduction will appear the next time the app starts,Utangulizi utaonekana wakati ujao programu itakapoanza,,
settings_onboarding_reset,The welcome screens will show next time,Skrini za karibu zitaonekana wakati ujao,,
settings_privacy_heading,Privacy,Faragha,,legal or first-run copy - wording matters most here
settings_privacy_body,"This app does not collect, store or share any personal data. The permissions it requests are used only for playback and recording: internet access to stream audio, a foreground service so playback and recording continue in the background, and nearby-devices access so Cast targets can be found.","Programu hii haikusanyi, haihifadhi wala haishiriki data yoyote binafsi. Ruhusa inazoomba hutumika kwa usikilizaji na kurekodi pekee: intaneti kwa ajili ya sauti, huduma ya mbele ili usikilizaji na kurekodi viendelee chinichini, na ruhusa ya vifaa vilivyo karibu ili vifaa vya Cast vipatikane.",,long; technical terms left in English on purpose; legal or first-run copy - wording matters most here
settings_licence_heading,Licence,Leseni,,legal or first-run copy - wording matters most here
settings_licence_body,"Released under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International licence. You may share and adapt the material with attribution, for non-commercial use, under the same licence.","Imetolewa chini ya leseni ya Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International. Unaweza kushiriki na kubadilisha maudhui ukitoa sifa, kwa matumizi yasiyo ya kibiashara, chini ya leseni hiyo hiyo.",,long; legal or first-run copy - wording matters most here
about_title,About,Kuhusu,,
about_version,Version %1$s,Toleo %1$s,,
about_created_by,Created by,Imetengenezwa na,,
